;Num_Acc;id_vehicule;num_veh;catu;grav;catv;;obsm;dep;com;adr;lat;long;;voie;v1;v2;vosp;vma
1750;2,02E+11;138 305 069;B01;1;3;32;;2;75;75103;RUE REAUMUR;48,8656245;2,3553242;;RUE REAUMUR;0.0;;0;50
1751;2,02E+11;138 305 070;A01;1;1;7;;2;75;75103;RUE REAUMUR;48,8656245;2,3553242;;RUE REAUMUR;0.0;;0;50
1752;2,02E+11;138 305 067;B01;2;1;7;;2;75;75106;BOULEVARD SAINT GERMAIN;48,854471;2,330465;;BOULEVARD SAINT GERMAIN;0.0;;-1;50
1753;2,02E+11;138 305 067;B01;2;1;7;;2;75;75106;BOULEVARD SAINT GERMAIN;48,854471;2,330465;;BOULEVARD SAINT GERMAIN;0.0;;-1;50
1754;2,02E+11;138 305 067;B01;1;1;7;;2;75;75106;BOULEVARD SAINT GERMAIN;48,854471;2,330465;;BOULEVARD SAINT GERMAIN;0.0;;-1;50
1755;2,02E+11;138 305 067;B01;2;1;7;;2;75;75106;BOULEVARD SAINT GERMAIN;48,854471;2,330465;;BOULEVARD SAINT GERMAIN;0.0;;-1;50
1756;2,02E+11;138 305 067;B01;2;1;7;;2;75;75106;BOULEVARD SAINT GERMAIN;48,854471;2,330465;;BOULEVARD SAINT GERMAIN;0.0;;-1;50
1757;2,02E+11;138 305 067;B01;2;1;7;;2;75;75106;BOULEVARD SAINT GERMAIN;48,854471;2,330465;;BOULEVARD SAINT GERMAIN;0.0;;-1;50
1758;2,02E+11;138 305 068;A01;1;3;32;;2;75;75106;BOULEVARD SAINT GERMAIN;48,854471;2,330465;;BOULEVARD SAINT GERMAIN;0.0;;-1;50
1759;2,02E+11;138 305 065;A01;1;1;10;;2;75;75105;RUE CLAUDE BERNARD;48,839012;2,349209;;RUE CLAUDE BERNARD;0.0;;0;30
1760;2,02E+11;138 305 066;B01;1;4;32;;2;75;75105;RUE CLAUDE BERNARD;48,839012;2,349209;;RUE CLAUDE BERNARD;0.0;;0;30
1761;2,02E+11;138 305 064;A01;1;4;30;;0;75;75119;RUE DU MAROC;48,8871068;2,3677059;;RUE DU MAROC;0.0;;0;30
1762;2,02E+11;138 305 063;A01;1;1;32;;1;75;75116;CHAUSSEE LA MUETTE;48,8580722;2,2728234;;CHAUSSEE LA MUETTE;0.0;;0;50
1763;2,02E+11;138 305 063;A01;3;4;32;;1;75;75116;CHAUSSEE LA MUETTE;48,8580722;2,2728234;;CHAUSSEE LA MUETTE;0.0;;0;50
1764;2,02E+11;138 305 061;B01;1;1;7;;2;75;75116;BOULEVARD DE L AMIRAL BRUIX;48,8748629;2,2787538;;BOULEVARD DE L AMIRAL BRUIX;0.0;;0;50
1765;2,02E+11;138 305 062;A01;1;4;30;;2;75;75116;BOULEVARD DE L AMIRAL BRUIX;48,8748629;2,2787538;;BOULEVARD DE L AMIRAL BRUIX;0.0;;0;50
1766;2,02E+11;138 305 056;B01;1;1;7;;2;75;75114;BOULEVARD BRUNE;48,8261358;2,3127615;;BOULEVARD BRUNE;0.0;;0;50
1767;2,02E+11;138 305 057;A01;2;1;34;;2;75;75114;BOULEVARD BRUNE;48,8261358;2,3127615;;BOULEVARD BRUNE;0.0;;0;50
1768;2,02E+11;138 305 057;A01;1;4;34;;2;75;75114;BOULEVARD BRUNE;48,8261358;2,3127615;;BOULEVARD BRUNE;0.0;;0;50
1769;2,02E+11;138 305 054;A01;1;4;1;;2;75;75113;RUE DE TOLBIAC;48,8259651;2,3531906;;RUE DE TOLBIAC;0.0;;3;50
1770;2,02E+11;138 305 052;B01;1;4;30;;2;75;75113;AVENUE D ITALIE;48,8258256;2,3575383;;AVENUE D ITALIE;0.0;;0;50
1771;2,02E+11;138 305 053;A01;1;1;38;;2;75;75113;AVENUE D ITALIE;48,8258256;2,3575383;;AVENUE D ITALIE;0.0;;0;50
1772;2,02E+11;138 305 050;B01;1;4;50;;2;75;75113;AVENUE DE LA PORTE DE CHOISY;48,818199;2,366123;;AVENUE DE LA PORTE DE CHOISY;0.0;;0;50
1773;2,02E+11;138 305 051;A01;1;4;32;;2;75;75113;AVENUE DE LA PORTE DE CHOISY;48,818199;2,366123;;AVENUE DE LA PORTE DE CHOISY;0.0;;0;50
1774;2,02E+11;138 305 049;B01;1;4;1;;0;75;75112;ROUTE ROYALE DE BEAUTE;48,834114;2,443568;;ROUTE ROYALE DE BEAUTE;0.0;;1;50
1775;2,02E+11;138 305 048;A01;1;4;30;;0;75;75111;BOULEVARD RICHARD LENOIR;48,857431;2,371387;;BOULEVARD RICHARD LENOIR;0.0;;-1;50
1776;2,02E+11;138 305 046;A01;1;4;1;;2;75;75108;RUE DE ROME;48,8771953;2,3230354;;RUE DE ROME;0.0;;3;50
1777;2,02E+11;138 305 045;A01;1;4;3;;0;75;75107;BOULEVARD SAINT GERMAIN;48,8569673;2,3245999;;BOULEVARD SAINT GERMAIN;0.0;;-1;50
1778;2,02E+11;138 305 043;A01;1;4;7;;2;75;75107;QUAI D ORSAY;48,862832;2,313437;;QUAI D ORSAY;0.0;;0;50
1779;2,02E+11;138 305 044;B01;1;4;7;;2;75;75107;QUAI D ORSAY;48,862832;2,313437;;QUAI D ORSAY;0.0;;0;50
1780;2,02E+11;138 305 042;A01;3;4;1;;1;75;75104;BOULEVARD DU PALAIS;48,8552101;2,3458059;;BOULEVARD DU PALAIS;0.0;;3;50
1781;2,02E+11;138 305 042;A01;1;1;1;;1;75;75104;BOULEVARD DU PALAIS;48,8552101;2,3458059;;BOULEVARD DU PALAIS;0.0;;3;50
1782;2,02E+11;138 305 041;A01;1;4;33;;2;75;75101;QUAI FRANCOIS MITTERRAND;48,8592526;2,3379745;;QUAI FRANCOIS MITTERRAND;0.0;;0;50
1783;2,02E+11;138 305 038;A01;1;4;50;;2;75;75109;RUE DU HAVRE;48,874178;2,326949;;RUE DU HAVRE;0.0;;0;50
1784;2,02E+11;138 305 039;B01;1;1;32;;2;75;75109;RUE DU HAVRE;48,874178;2,326949;;RUE DU HAVRE;0.0;;0;50
2006;2,02E+11;138 304 852;A01;1;4;33;;0;75;75110;BOULEVARD DE STRASBOURG;48,873456;2,356632;;BOULEVARD DE STRASBOURG;0.0;;0;50
2024;2,02E+11;138 304 837;A01;1;4;50;;0;75;75115;PLACE ALFRED DREYFUS;48,846907;2,2931024;;PLACE ALFRED DREYFUS;0.0;;0;50
2428;2,02E+11;138 304 510;B01;1;1;7;;2;75;75112;A4;48,82155;2,46208;;4;0.0;;0;90
2429;2,02E+11;138 304 511;A01;1;4;33;;2;75;75112;A4;48,82155;2,46208;;4;0.0;;0;90
3453;2,02E+11;138 303 633;A01;1;1;7;;2;75;75120;ECHANGEUR LILAS;48,8762742;2,4100024;;ECHANGEUR LILAS;0.0;;0;50
3454;2,02E+11;138 303 633;A01;2;1;7;;2;75;75120;ECHANGEUR LILAS;48,8762742;2,4100024;;ECHANGEUR LILAS;0.0;;0;50
3455;2,02E+11;138 303 647;B01;1;4;32;;2;75;75120;ECHANGEUR LILAS;48,8762742;2,4100024;;ECHANGEUR LILAS;0.0;;0;50
3458;2,02E+11;138 303 627;C01;1;1;10;;2;75;75120;ECHANGEUR BAGNOLET;48,8646795;2,4127597;;ECHANGEUR BAGNOLET;0.0;;0;50
3459;2,02E+11;138 303 627;C01;2;4;10;;2;75;75120;ECHANGEUR BAGNOLET;48,8646795;2,4127597;;ECHANGEUR BAGNOLET;0.0;;0;50
3460;2,02E+11;138 303 627;C01;2;4;10;;2;75;75120;ECHANGEUR BAGNOLET;48,8646795;2,4127597;;ECHANGEUR BAGNOLET;0.0;;0;50
3461;2,02E+11;138 303 629;B01;2;4;7;;2;75;75120;ECHANGEUR BAGNOLET;48,8646795;2,4127597;;ECHANGEUR BAGNOLET;0.0;;0;50
3462;2,02E+11;138 303 629;B01;1;1;7;;2;75;75120;ECHANGEUR BAGNOLET;48,8646795;2,4127597;;ECHANGEUR BAGNOLET;0.0;;0;50
3463;2,02E+11;138 303 630;A01;1;1;7;;2;75;75120;ECHANGEUR BAGNOLET;48,8646795;2,4127597;;ECHANGEUR BAGNOLET;0.0;;0;50
3466;2,02E+11;138 303 624;B01;1;4;7;;2;75;75115;BD PERIPHERIQUE INTERIEUR;48,8267961;2,2956214;;BD PERIPHERIQUE INTERIEUR;0.0;;0;70
3467;2,02E+11;138 303 625;A01;1;4;7;;2;75;75115;BD PERIPHERIQUE INTERIEUR;48,8267961;2,2956214;;BD PERIPHERIQUE INTERIEUR;0.0;;0;70
3470;2,02E+11;138 303 616;C01;1;1;7;;2;75;75114;BD PERIPHERIQUE EXTERIEUR;48,824004;2,307669;;BD PERIPHERIQUE EXTERIEUR;0.0;;0;70
3471;2,02E+11;138 303 617;B01;1;4;32;;2;75;75114;BD PERIPHERIQUE EXTERIEUR;48,824004;2,307669;;BD PERIPHERIQUE EXTERIEUR;0.0;;0;70
3472;2,02E+11;138 303 618;A01;1;1;31;;2;75;75114;BD PERIPHERIQUE EXTERIEUR;48,824004;2,307669;;BD PERIPHERIQUE EXTERIEUR;0.0;;0;70
3475;2,02E+11;138 303 614;A01;2;4;34;;2;75;75117;BD PERIPHERIQUE INTERIEUR;48,8896919;2,2974046;;BD PERIPHERIQUE INTERIEUR;0.0;;0;70
3476;2,02E+11;138 303 614;A01;1;1;34;;2;75;75117;BD PERIPHERIQUE INTERIEUR;48,8896919;2,2974046;;BD PERIPHERIQUE INTERIEUR;0.0;;0;70
3481;2,02E+11;138 303 610;B01;1;4;31;;2;75;75113;BD PERIPHERIQUE INTERIEUR;48,82304;2,381235;;BD PERIPHERIQUE INTERIEUR;0.0;;0;70
3482;2,02E+11;138 303 612;A01;1;1;7;;2;75;75113;BD PERIPHERIQUE INTERIEUR;48,82304;2,381235;;BD PERIPHERIQUE INTERIEUR;0.0;;0;70
3485;2,02E+11;138 303 608;A01;1;4;43;;0;75;75120;ECHANGEUR BAGNOLET;48,8653726;2,412373;;ECHANGEUR BAGNOLET;0.0;;0;50
3491;2,02E+11;138 303 604;C01;1;1;7;;2;75;75114;BD PERIPHERIQUE INTERIEUR;48,82352;2,310358;;BD PERIPHERIQUE INTERIEUR;0.0;;0;70
3492;2,02E+11;138 303 605;B01;1;1;7;;2;75;75114;BD PERIPHERIQUE INTERIEUR;48,82352;2,310358;;BD PERIPHERIQUE INTERIEUR;0.0;;0;70
3493;2,02E+11;138 303 606;A01;1;4;7;;2;75;75114;BD PERIPHERIQUE INTERIEUR;48,82352;2,310358;;BD PERIPHERIQUE INTERIEUR;0.0;;0;70
3496;2,02E+11;138 303 600;A01;3;4;7;;1;75;75114;PLACE JULES HENAFFE;48,8237672;2,3318486;;PLACE JULES HENAFFE;0.0;;0;50
3497;2,02E+11;138 303 600;A01;1;3;7;;1;75;75114;PLACE JULES HENAFFE;48,8237672;2,3318486;;PLACE JULES HENAFFE;0.0;;0;50
3498;2,02E+11;138 303 598;A01;1;4;80;;2;75;75107;RUE FABERT;48,859933;2,311372;;RUE FABERT;0.0;;0;50
3499;2,02E+11;138 303 599;B01;1;1;7;;2;75;75107;RUE FABERT;48,859933;2,311372;;RUE FABERT;0.0;;0;50
3503;2,02E+11;138 303 594;A01;1;4;43;;2;75;75105;BOULEVARD DE L HOPITAL;48,842303;2,363505;;BOULEVARD DE L HOPITAL;0.0;;0;50
3504;2,02E+11;138 303 595;B01;1;1;33;;2;75;75105;BOULEVARD DE L HOPITAL;48,842303;2,363505;;BOULEVARD DE L HOPITAL;0.0;;0;50
